Date,Open,High,Low,Close*,Adj Close**,Volume,Year,Month,Day,DayOfWeek,Daily_Return,Volatility,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_upper,BB_lower,Price_Momentum,Volume_MA5,Volume_MA20
2023-01-19,33171.35,33227.49,32982.05,33044.56,33044.56,319770000,2023,1,19,3,-0.9915360044152166,0.6737992247727738,33505.482,33868.003,33128.415,29.862357336563335,39.229142328294984,166.85817959782105,33868.003,34442.2906242551,33293.71537574489,-0.026652893231428942,336670000.0,342884000.0
2023-01-18,33948.49,34016.53,33269.9,33296.96,33296.96,351670000,2023,1,18,2,0.7638171003033545,0.6266102574933111,33416.106,33826.4485,33137.1736,31.231798951270406,8.806097626278643,135.2477632035126,33826.4485,34440.410601394186,33212.48639860581,-0.013243306037487024,338660000.0,347091000.0
2023-01-17,34222.32,34269.97,33860.67,33910.85,33910.85,353050000,2023,1,17,1,1.8436818256081011,0.7653620253768484,33451.484000000004,33817.527500000004,33161.0386,50.37576602832555,33.841306505026296,114.96647186381533,33817.527500000004,34420.496772460494,33214.55822753951,0.00524367729137043,349408000.0,350302500.0
2023-01-13,34075.31,34342.32,33915.49,34302.61,34302.61,274110000,2023,1,13,4,1.1552644655029365,0.8033378827074185,33586.094,33820.3615,33199.205799999996,56.28634764203536,84.32164045270474,108.83750558159322,33820.3615,34432.275224647135,33208.44777535286,0.020013642759524775,333186000.0,348878000.0
2023-01-12,34047.86,34292.67,33792.1,34189.97,34189.97,308190000,2023,1,12,3,-0.3283715145873778,0.7647690891372181,33748.99,33836.396499999995,33234.363600000004,52.28231362140067,113.9253022014309,109.85506490556077,33836.396499999995,34470.12538240199,33202.667617598,0.024403536846949736,321358000.0,349880000.0
2023-01-11,33754.03,33974.69,33711.04,33973.01,33973.01,301650000,2023,1,11,2,-0.634572068943029,0.7704281278587108,33934.68,33850.053,33269.073200000006,48.100873012606016,118.51340981422982,111.58673388729457,33850.053,34483.166426541655,33216.939573458345,0.028096909143290327,317734000.0,347586500.0
2023-01-10,33516.43,33726.54,33421.8,33704.1,33704.1,268260000,2023,1,10,1,-0.791540107867994,0.7736683641617348,34016.108,33837.8075,33301.0502,44.416114525646044,99.30599088050803,109.13058528593727,33837.8075,34472.33436834154,33203.28063165847,0.012227542694588367,301052000.0,344795000.0
2023-01-09,33664.39,33935.11,33487.66,33517.65,33517.65,327840000,2023,1,9,0,-0.5531967920816672,0.7663623189055786,33937.468,33805.8555,33330.801,46.9198645877092,68.2522468055904,100.9549175898679,33805.8555,34437.12186574841,33174.58913425158,-0.011595108940058885,296010000.0,343106000.0
2023-01-06,33055.3,33710.66,32997.39,33630.61,33630.61,360740000,2023,1,6,4,0.33701646744326297,0.754273175704318,33803.06800000001,33792.835,33352.2012,44.37657995332562,52.15564108529361,91.19506228895305,33792.835,34427.4387539159,33158.2312460841,-0.01959034604072396,313336000.0,346323000.0
2023-01-05,33191.72,33191.72,32812.33,32930.08,32930.08,337920000,2023,1,5,3,-2.0830130645861034,0.8808520251673146,33551.090000000004,33743.0385,33365.9112,36.44994483363685,-16.932761015632423,69.56949762803596,33743.0385,34481.450155615195,33004.62684438481,-0.036849695978089514,319282000.0,341961500.0
2023-01-04,33165.14,33409.1,33033.48,33269.77,33269.77,379400000,2023,1,4,2,1.031549270454235,0.9128503314512086,33410.441999999995,33703.83,33394.067,43.91511165533298,-43.7711072654638,46.90137664933601,33703.83,34455.88306691255,32951.77693308745,-0.020699961528283906,334832000.0,339436000.0
2023-01-03,33148.9,33387.52,32850.57,33136.37,33136.37,355930000,2023,1,3,1,-0.40096459939457096,0.9133806511941286,33296.89599999999,33656.000499999995,33411.8634,42.56542066539109,-74.94108102512837,22.532885114443133,33656.000499999995,34425.32810754129,32886.6728924587,-0.016844538201583714,352366000.0,338726500.0
2022-12-30,33121.61,33152.55,32847.82,33147.25,33147.25,295500000,2022,12,30,4,0.032834012898819154,0.9138188830379694,33222.816000000006,33609.061,33437.316999999995,43.856659202592304,-97.64005099608767,-1.501702107663025,33609.061,34382.45888400616,32835.66311599384,-0.011050894081178209,345898000.0,335489500.0
2022-12-29,33021.43,33293.42,33020.35,33220.8,33220.8,243060000,2022,12,29,3,0.22188869363219954,0.8888924678642032,33140.85400000001,33584.2465,33458.625,47.934685376306824,-108.44420067708415,-22.89020182154725,33584.2465,34374.70892485412,32793.78407514588,-0.01218562494108788,322362000.0,330446500.0
2022-12-28,33264.76,33379.55,32869.15,32875.71,32875.71,252260000,2022,12,28,2,-1.038776910851047,0.8906807006581686,33129.979999999996,33529.128,33479.7564,47.75412265137228,-143.20170597499236,-46.95250265223628,33529.128,34356.820376050775,32701.435623949223,-0.0016510740332243978,305230000.0,320996500.0
2022-12-27,33224.23,33387.72,33069.58,33241.56,33241.56,246010000,2022,12,27,1,1.1128276773338053,0.935218511675173,33124.338,33493.735499999995,33506.3948,49.284710888921,-139.6168260120976,-65.48536732420854,33493.735499999995,34306.15365697851,32681.31734302148,-0.0008479168927226777,278552000.0,316947000.0
2022-12-23,32961.06,33226.14,32814.02,33203.93,33203.93,221050000,2022,12,23,4,-0.11320166682911026,0.9276930007327348,33137.85,33466.74,33525.3762,39.27706822801322,-138.21890779602109,-80.03207541857105,33466.74,34280.04648330714,32653.43351669286,0.0020388473450771993,251576000.0,310913500.0
